dataset,representation,embedding_tag,objective,pair_condition,N,run,seed,train_examples,train_pairs,val_pairs,epochs_trained,general_pair_accuracy,same_image_accuracy,mse,mae,pearson,spearman,kendall_c,rating_mode,test_examples,general_test_pairs,same_image_test_pairs
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,7,6,3693,739,162,18,0.8446167097329889,0.8151881720430108,6.705254554748535,2.0562851428985596,0.6878356238052561,0.6169256292752044,0.4965078319377273,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,8,7,3693,739,162,30,0.8508182601205857,0.8205645161290323,17.98874282836914,3.496887683868408,0.7009712106474879,0.6341711484358604,0.5136957828636347,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,8,7,3693,739,162,23,0.8511627906976744,0.8313172043010753,14.659037590026855,3.1405298709869385,0.6977021016950289,0.6350213745303614,0.5138026140503289,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,9,8,3693,739,162,17,0.8456503014642549,0.8044354838709677,46.38368225097656,3.780695676803589,0.7301534443374749,0.6159038437089216,0.49815382355494126,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,9,8,3693,739,162,17,0.8468561584840655,0.8051075268817204,42.03913497924805,3.642334222793579,0.7348247075340737,0.6192400153195955,0.500998698489501,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.2,10,9,3693,739,162,24,0.8511627906976744,0.8313172043010753,7.360152244567871,2.2379276752471924,0.6977052121227985,0.6402557022553278,0.5144515145917306,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.2,10,9,3693,739,162,21,0.850473729543497,0.8138440860215054,7.274261951446533,2.1984336376190186,0.6935706832174446,0.6387643086834328,0.5142615924820519,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.3,1,0,3693,1108,243,21,0.8652885443583118,0.8353494623655914,10.597709655761719,2.4663655757904053,0.7525794045001248,0.6624323766646375,0.536945414456782,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,bradley_terry,different_image,0.3,1,0,3693,1108,243,19,0.8695951765719208,0.8306451612903226,9.865239143371582,2.5419018268585205,0.7238690635665535,0.6566936580955918,0.5304880627277118,rounded_mean,1161,5805,1488
FlickrExpert,vilbert,vilbert,hinge,different_image,0.3,2,1,3693,1108,243,21,0.8537467700258398,0.8198924731182796,8.95091438293457,2.3232269287109375,0.7274128577309469,0.6371848467989273,0.5157057918577325,rounded_mean,1161,5805,1488
